PID,LotArea,Age,TotalBsmtSF,SalePrice
526301100,31770,51,1080,215000
526350040,11622,50,882,105000
526351010,14267,53,1329,172000
526353030,11160,43,2110,244000
527105010,13830,14,928,189900
527105030,9978,13,926,195500
527127150,4920,10,1338,213500
527145080,5005,19,1280,191500
527146030,5389,16,1595,236500
527162130,7500,12,994,189000
527163010,10000,18,763,175900
527165230,7980,19,1168,185000
527166040,8402,13,789,180400
527180040,10176,21,1300,171500
527182190,6820,26,1488,212000
527216070,53504,8,1650,538000
527225035,12134,23,559,164000
527258010,11394,1,1856,394432
527276150,19138,60,864,141000
527302110,13175,33,1542,210000
527358140,11751,34,1844,190000
527358200,10625,37,1053,170000
527368020,7500,11,814,216000
527402200,11241,41,1004,149000
527402250,12537,40,1078,149900
527403020,8450,43,1056,142000
527404120,8400,41,882,126000
527425090,10500,40,864,115000
527427230,5858,12,1405,184000
527451180,1680,40,483,96000
527451330,1680,40,525,105500
527451410,1680,40,525,88000
527452190,4043,34,1069,127500
527453130,2280,36,855,149900
527453150,2280,36,836,120000
527454200,2280,33,855,146000
528108120,12858,2,1590,376162
528112020,11478,4,1704,306000
528120060,10159,2,1930,395192
528120090,12883,2,1544,290941
528120100,12182,6,1541,220000
528120120,11520,6,1698,275000
528138020,14122,6,1822,259000
528138060,10171,7,1517,214000
528150070,12919,2,2330,611657
528175010,6371,2,1358,224000
528176010,14300,8,2846,500000
528176070,13650,9,1671,320000
528180070,7658,6,1752,319900
528181050,7132,5,1370,205000
528188120,2628,8,764,175500
528218150,18494,6,1324,199500
528228285,3203,5,1145,160000
528228440,3182,7,1256,192000
528231020,13300,7,384,184500
528240070,7851,9,860,216500
528240130,8577,7,847,185088
528250100,7750,11,384,180000
528292020,9505,10,884,222500
528328100,14774,12,1393,333168
528344070,17433,13,1629,355000
528358010,10593,15,1720,260400
528363130,12256,17,1463,325000
528382020,11764,12,1152,290000
528382030,16770,13,1195,221000
528386040,14720,16,2033,410000
528445060,8987,6,1595,221500
528456160,9215,2,1218,204500
528458070,8640,2,756,215200
528458110,9000,3,1566,262500
528477080,12552,7,991,254900
528480090,10440,6,1468,271500
531367050,10142,7,956,233000
531369060,11920,7,831,181000
531380080,8880,17,948,205000
531451110,8012,31,923,143000
531451280,11218,19,1055,189000
531452020,7892,32,918,99500
531452050,7175,27,744,125000
531452180,9453,18,996,194500
531453010,9672,27,1040,152000
531453040,8400,31,650,171000
531477050,9800,91,816,67500
532351140,8930,33,0,112000
532354090,11782,50,1109,148000
532376160,8450,46,894,138500
532377060,9819,44,882,122000
532377100,7500,48,1040,133000
532378110,6897,49,1040,127000
532479070,15410,37,1208,169000
533130020,10186,19,750,190000
533130130,13143,18,1231,362500
533130160,11134,19,1390,285000
533205060,4835,7,1488,260000
533208090,3515,7,840,190000
533210060,3215,7,600,155000
533212010,3182,7,600,151000
533212020,2544,7,600,149500
533212060,2544,6,600,152000
533213030,4403,2,1470,222000
533221090,2117,11,756,177500
533221110,2980,11,756,177000
533223020,2572,12,696,155000
533223100,2403,8,530,147110
533238045,12853,1,1642,267916
533244030,7379,11,975,254000
533253060,4420,31,728,155000
533253210,3880,33,1226,206000
533352170,13517,35,725,130500
534102025,8000,9,1492,230000
534129040,10456,44,1829,218500
534151175,10791,18,1280,243500
534152050,10603,34,1610,205000
534152070,18837,33,1224,212500
534152100,10421,23,980,196500
534176060,9360,39,1161,197500
534176230,9600,40,715,171000
534202160,9600,45,1232,142250
534251320,9790,48,1328,143000
534276360,9320,52,950,128950
534401110,9900,45,1209,159000
534401140,9680,44,1510,178900
534403360,10600,47,533,136300
534403410,14112,47,1152,180500
534425310,8800,48,936,137500
534427010,13260,49,1728,84900
534430080,9717,61,1078,142125
534431050,9724,59,1140,197600
534431070,17360,62,782,172500
534450180,7207,53,858,116500
534451150,5350,71,728,76500
534475100,9920,57,1056,128000
534476260,9600,56,1156,153000
534479320,7800,57,1268,132000
535101020,11380,45,1080,178000
535106190,11600,51,1105,154300
535125010,19900,41,1947,180000
535126040,16492,45,1517,190000
535152010,8267,53,1604,135000
535152050,8197,8,1480,214000
535152130,8050,52,1143,136000
535152150,10552,52,1398,165500
535152250,8400,54,1314,145000
535153070,8760,52,1194,148000
535154050,12160,52,1188,142000
535175070,9300,51,1268,167500
535175180,10725,52,1206,108538
535179020,10032,52,1244,159500
535180130,8382,55,832,108000
535302080,10950,59,864,135000
535302200,10895,56,972,122500
535304060,13587,53,988,119000
535304180,7922,58,1057,109000
535325400,7898,91,576,105000
535327140,7200,56,0,107500
535350030,10200,57,1086,144900
535350040,5868,55,936,129000
535353190,17503,63,912,97500
535377090,6979,31,1056,144000
535401080,9830,52,1063,162000
535425010,11275,44,710,242000
535450210,8064,63,816,132000
535453070,7500,52,1246,154000
535454070,8520,59,910,166000
535456110,7200,60,900,134800
535457010,10000,49,1116,160000
535457090,7635,51,1175,148000
535476350,9760,48,1395,192000
535477020,7700,45,756,155000
902102100,4800,111,709,80400
902104060,8800,101,576,96500
902106130,4485,91,936,109500
902106140,8960,84,1008,115000
902110090,5805,54,1347,143000
902125080,5790,96,840,107400
902125160,4608,66,747,80000
902128170,7200,71,788,119000
902206040,5500,82,926,130000
902206130,6900,73,827,119000
902206220,11851,63,1027,129000
902206240,8239,91,1008,100000
902207130,9656,88,678,12789
902207140,8520,83,624,105900
902305110,9600,111,930,150000
902327040,10800,96,686,139000
902329030,9000,121,346,240000
902401060,9045,101,840,76500
902402010,7407,54,912,149700
902402130,7740,101,622,125500
902402250,11340,126,777,122500
902403070,10560,89,738,140750
903204040,5830,61,988,128500
903206120,7793,89,1108,209500
903225150,5000,86,765,87000
903226160,6000,72,608,134000
903227020,6000,71,572,128000
903227150,6360,69,835,132000
903228150,6000,63,780,139900
903232190,6240,75,528,123900
903233120,6240,81,928,138400
903234050,6120,88,1124,109500
903425110,10300,90,576,140000
903426180,8094,96,888,149500
903426200,12900,99,780,159900
903430080,3068,91,662,122000
903450110,8472,48,816,110000
903454060,5600,81,0,55000
903476030,7630,111,360,140000
904100140,24090,71,1032,244400
904101110,15263,52,1422,173000
904300150,10632,94,689,107500
904302260,9900,96,1212,100000
904350045,6001,71,600,95000
904351040,6449,104,707,93369
904352190,6048,101,856,114900
905101100,6342,136,780,94000
905101300,10773,44,1832,136000
905101310,10778,43,1768,136500
905102060,11625,46,1039,131500
905103060,11341,54,1392,121500
905104210,8521,44,912,125000
905105070,8246,43,1060,154000
905105200,7800,45,864,137900
905106140,9364,42,663,158000
905106170,7832,43,864,137250
905107110,7424,33,1319,160250
905107250,11227,43,720,163000
905107320,11616,33,672,158900
905109130,14000,15,1306,328000
905109170,20062,34,1420,270000
905201030,9259,84,660,85000
905202090,9600,61,1067,128000
905325030,23595,32,1332,260000
905352140,17082,33,1117,230000
905378040,18600,73,972,124000
905426060,10625,91,458,83000
905426200,11479,61,663,144500
905451320,9571,55,1144,129000
905452110,9350,64,756,127000
905452160,9525,57,1172,128000
905453040,10420,2,1212,186000
905453080,17485,2,1508,308030
905475510,11200,47,1250,114000
905478190,11100,65,0,84900
906201030,9206,26,741,178000
906201120,11980,24,1433,270000
906204230,12361,18,946,218000
906223090,9938,18,1050,236000
906225210,9069,19,936,147000
906378100,10475,3,1694,245350
906380190,6762,5,1187,206000
906385010,10402,2,1226,198900
906385020,7360,1,1222,187000
906402200,12376,21,1673,320000
906425045,14235,111,676,138500
906477110,8816,40,1010,155000
907125090,11105,15,870,159000
907180050,9337,14,878,191000
907185060,8750,13,804,200500
907200280,15240,34,1026,150000
907200290,10900,34,689,161750
907200340,10650,35,894,128200
907203070,7480,39,876,127000
907250030,10389,8,1978,318000
907252120,11423,10,1581,272000
907262050,9548,8,941,237000
907280040,9375,14,1040,240000
907290040,12137,13,1649,224900
907290170,4435,8,848,143750
907290240,4426,7,848,143000
907401090,10635,8,1657,232000
907410080,8400,7,1473,213000
907414030,8773,7,1414,185500
908102060,8777,66,0,84900
908102110,8842,57,381,155891
908102130,9825,46,0,100000
908102170,10044,43,1196,144000
908102300,11792,63,744,64000
908103350,6305,36,1008,125200
908152080,7819,35,1029,107000
908203100,6410,53,960,90000
908208020,8546,8,1121,140000
908225320,8741,66,735,113000
908226130,12180,70,672,80000
908275300,8562,54,1216,144500
909100080,4853,87,1107,104000
909100110,6858,96,806,128000
909101070,8212,97,864,58500
909176140,5000,87,1026,127000
909176150,7890,72,856,126000
909177100,7200,44,0,160000
909250030,9839,80,894,100000
909250060,9638,92,804,169000
909281080,10452,70,1528,257500
909426080,15600,61,1032,215000
909427230,9042,70,1152,266500
909428280,17500,52,1902,335000
909452114,19645,17,423,203135
909455030,3907,22,982,185000
909455040,3907,22,1191,162500
909475140,15602,52,1501,289000
910202060,5436,89,796,125500
910203250,8154,70,480,82000
910205120,9140,90,629,110000
911128180,7500,91,698,68400
911202100,8712,111,859,102776
911204090,8712,59,540,55993
911204100,8712,115,756,50138
911370510,3811,7,1594,246000
914467040,11050,13,1049,254900
914475090,9620,34,1243,190000
914476520,9196,8,1560,201000
914478045,12328,35,1012,169900
914478110,12760,35,1958,170000
916125360,57200,63,747,160000
916386010,11896,3,1336,220000
916386020,9803,2,1214,179781
916386060,9802,5,384,174000
916386090,12003,2,774,269500
916455170,11316,9,817,214900
916475110,14191,9,967,202900
921128020,13214,3,2002,378500
923201020,15300,46,1068,169000
923202105,10114,7,1430,173500
923204150,9400,40,912,139000
923205015,11875,12,1344,166500
923225300,1974,38,546,83500
923225390,2394,38,945,119500
923225440,2592,35,536,85000
923226250,1476,41,546,76000
923226320,1491,39,630,75500
923228270,1900,41,546,88250
923228370,1890,39,546,85500
923230190,6953,40,864,130000
923251080,26142,49,1188,157900
923276030,12887,27,833,149900
923276250,7700,26,1216,159000
923426070,10475,20,624,136000
924100050,10544,42,864,161000
924151040,9892,17,1679,285000
924152030,12961,18,1152,231000
526302110,13008,55,882,124500
526351100,10200,37,1434,157000
526355080,13860,39,1952,345000
527105070,10179,14,945,189500
527105130,11792,8,1008,270000
527107130,8400,15,384,189000
527108070,14892,5,1746,377500
527110020,8530,16,384,168500
527127100,7296,7,2208,375000
527131030,5664,11,1501,278000
527132090,7380,13,1418,240000
527146010,8013,16,1587,239500
527161040,8923,13,384,177500
527162110,10141,13,832,185000
527162120,7500,13,952,191000
527163040,7837,18,799,178000
527163070,9765,18,680,185000
527163130,8803,17,707,181316
527164020,7250,18,1181,166000
527164060,9636,19,808,178000
527164090,8125,17,702,174000
527165130,9248,19,1158,173000
527166010,10762,12,978,225000
527180100,11851,21,1424,180500
527182110,5814,27,1220,187500
527214050,17423,3,2216,501837
527254020,11844,3,2046,372500
527258020,16158,6,1530,260000
527276160,11900,34,1122,185000
527301320,13005,31,845,260000
527302175,17043,32,1362,181000
527326040,11900,34,1386,82500
527326150,16635,34,1602,215000
527352150,13250,33,832,154000
527353020,10928,33,1427,200000
527353060,12388,31,1043,249000
527354100,14115,31,1372,187500
527354200,11088,33,1140,184000
527355150,9600,30,2524,278000
527356040,11880,33,1271,157000
527359050,10400,35,1090,152000
527359180,10304,35,780,197500
527364030,7000,8,926,240900
527365030,8004,2,832,263435
527366030,7500,11,1058,220000
527368010,8470,9,972,235000
527375100,9373,36,1621,213000
527375180,10140,37,1116,167900
527375210,11050,36,1176,158000
527376100,10140,37,1064,165000
527378140,10448,39,689,158000
527401160,9000,37,896,136000
527402220,8750,41,1002,148500
527403040,7930,42,1026,156000
527404020,7830,41,1180,128000
527404030,8510,40,1043,143000
527405130,7038,41,864,76500
527405160,6960,41,864,120500
527405180,8120,41,864,124500
527425060,10500,40,864,97000
527425110,9000,40,864,130000
527450280,1680,38,483,111000
527451110,2368,41,765,125000
527451320,1680,40,630,112000
527451540,1680,39,483,97000
527451640,1680,39,483,118000
527451650,1680,39,630,119500
527452060,4928,35,958,143750
527453050,2308,35,804,146000
527453060,2280,35,855,148500
527453140,2280,36,1057,123000
527454050,2308,37,855,147000
527454130,2349,34,855,137900
527455050,2364,33,804,147000
527455060,2289,33,855,148500
527455080,2364,33,855,138000
527455090,2104,35,836,128500
527455240,7150,44,892,100000
527455280,10710,45,864,148800
528102040,12456,5,1700,337500
528102140,14257,4,1776,462000
528104070,13518,3,1926,485000
528106020,15431,3,3094,555000
528106070,13173,5,1652,325000
528108010,14230,4,1566,256300
528108020,12704,3,2042,253293
528108040,12350,2,1365,398800
528108070,11308,3,1104,335000
528108130,12350,3,2020,404000
528108140,12220,2,2006,402861
528110010,13478,3,1722,451950
528110020,13693,4,2630,610000
528110090,13891,3,1734,582933
528112040,11578,3,1736,360000
528116010,16870,7,1782,296000
528118060,23303,4,1508,409900
528120020,11146,5,1709,255500
528120030,10367,3,1739,335000
528120160,9591,7,1713,274900
528120170,10872,5,1504,300000
528138010,13514,3,1774,324000
528142040,8834,7,1462,350000
528142090,11362,7,1836,280000
528142130,10655,8,3206,284000
528142150,12878,8,1760,269500
528144020,9541,2,1502,233170
528166060,13472,8,2392,386250
528166090,15274,8,2452,445000
528168030,13262,8,1082,290000
528172060,9658,5,1598,255900
528174050,6904,6,1358,213000
528174060,5381,6,1306,196000
528174070,5122,6,1306,184500
528175050,10307,4,1350,212500
528175060,5001,4,1314,230000
528176030,14836,7,2492,552000
528178010,15262,8,2200,382500
528180120,7390,3,1884,320000
528180130,6472,3,1451,248500
528186010,16770,9,1712,286500
528186180,6240,5,1324,254000
528188020,3480,8,1405,173000
528188060,2268,8,764,173000
528218090,10928,6,728,184000
528220040,8918,6,745,167800
528221060,12589,6,742,174000
528221070,11911,6,684,174000
528228290,3684,4,1373,174000
528228295,3635,4,1386,175900
528228435,3182,6,1373,192500
528228450,3182,6,1346,181000
528228455,3182,6,1220,180000
528228460,3182,6,1145,160200
528235010,7795,7,716,188500
528235090,8068,9,1010,200000
528235200,9434,7,384,170000
528240030,7984,7,868,189500
528240060,7750,9,408,184100
528240150,10125,7,846,195500
528250020,8965,8,782,192000
528250040,8174,8,698,178000
528253010,5063,4,1314,207500
528275070,8795,11,952,236000
528275160,12891,9,870,257500
528280230,12224,11,992,244000
528290030,9734,7,384,167000
528290120,8123,11,982,179000
528290180,8433,11,794,190000
528290190,7750,12,384,156000
528292030,15896,12,1177,245000
528292040,24682,12,841,181000
528292070,8755,12,992,214000
528294050,7848,12,384,168000
528315090,9430,12,1252,337000
528321010,15138,16,1462,403000
528327070,12720,11,1455,327000
528344040,16545,13,1284,340000
528344100,12203,13,1225,336000
528354050,10208,15,1264,265000
528363050,10750,17,2024,315000
528365070,9900,18,1347,260000
528385050,9085,16,1070,260000
528387030,11692,18,1173,263550
528390100,46589,17,1629,402000
528390210,29959,17,973,248000
528427020,9612,3,1468,244600
528431020,11194,3,1696,275000
528431070,10206,3,1614,257500
528435030,9262,3,1573,287090
528435050,10130,4,1702,275500
528439060,9139,5,1422,245000
528441020,9675,6,1113,253000
528441090,11128,6,2458,468000
528456180,8640,2,900,252678
528456220,9000,3,768,210000
528456240,7862,2,1218,208300
528458020,7993,3,1436,225000
528458040,8640,2,1300,229456
528458060,8640,3,1402,229800
528458140,12606,4,1530,250000
528458160,9187,2,1766,370878
528458180,7500,5,1372,238500
528477050,11003,3,1017,310000
528477070,10603,5,900,270000
528480040,10574,6,1082,252000
528480130,8125,5,1092,241000
528480170,8125,3,1836,264500
528482040,10625,5,1652,291000
528482130,9375,8,912,263000
528488100,7500,7,1221,185000
528490040,8736,8,1553,234500
528490070,8127,8,812,209000
531363010,9605,4,1218,159000
531363030,7500,5,1141,152000
531363050,7500,7,1158,143500
531369010,10628,7,835,193000
531369020,10141,7,1512,203000
531371050,10083,8,1176,184900
531375040,13072,7,1114,159000
531375090,13072,7,1114,142000
531375130,12450,8,1114,153000
531376090,7328,3,1450,224243
531379050,11492,15,913,220000
531382070,10994,6,1844,257000
531385020,8529,10,1454,189000
531450120,7703,19,816,171500
531452010,10762,31,626,120000
531452070,7175,21,1332,145000
531452260,9109,17,754,184000
531453100,10274,25,676,162000
531475220,8250,30,0,160000
531477020,8400,61,721,82000
531479020,9000,83,784,76000
532353020,9750,49,980,110000
532353130,7064,34,980,135000
532354160,8499,50,864,141000
532354230,9079,50,864,122000
532376070,9316,46,1024,124100
532376110,7791,48,912,129000
532377130,10000,50,864,131400
532378120,8281,46,864,62383
532378180,7150,49,912,123000
532478020,15676,31,2014,275000
533135020,11949,20,975,235000
533206020,2880,7,1376,280750
533210010,3951,2,612,164500
533210020,3000,2,612,173733
533213010,3830,3,1726,222000
533213020,4217,3,1145,195000
533213040,3230,12,729,172500
533221040,2998,11,756,180000
533223030,3768,12,691,156000
533236050,2645,12,970,172500
533252040,14694,34,1694,318750
533253070,3782,30,1226,211500
533254050,15417,30,1740,241600
533254110,9600,35,392,180500
533352150,9991,35,1281,150000
534125080,11700,43,727,154000
534127130,11717,41,1442,185000
534127170,9156,43,1489,185750
534128010,10382,38,1107,200000
534128020,12732,37,752,206000
534128100,12936,39,723,162000
534128190,10400,44,932,256900
534129080,17871,44,1680,197900
534129370,9600,42,1288,163000
534129380,9000,42,1216,113000
534151120,13774,34,908,230000
534152120,9650,34,1350,167900
534175080,10140,13,1650,213250
534177230,8400,10,810,227000
534200030,7130,44,864,130000
534202170,9600,44,1568,143000
534226120,9100,46,925,117500
534250400,9600,37,1165,168500
534251030,16500,40,1232,172500
534252240,9790,44,1372,161500
534275060,7436,51,894,141500
534275100,8125,52,864,118000
534276040,9100,52,864,127500
534277090,9450,54,1040,140000
534278070,13495,55,1048,177625
534278230,11475,53,1584,110000
534400050,10004,47,1516,167000
534400290,9350,50,1313,153000
534402060,10500,47,1292,145100
534402140,11000,45,1154,154000
534402170,8970,46,744,177500
534403370,12095,47,1127,158000
534426110,9600,52,1041,124500
534429150,11475,50,1208,174500
534431130,9768,56,960,122000
534450150,5330,71,420,82500
534451110,7015,61,709,110000
534475185,12160,58,1505,149500
534475250,9900,44,1680,175000
534476150,9600,58,1416,167000
534476320,9600,55,1050,128900
534477110,9600,61,856,140000
534478230,9600,61,1113,147000
535101120,8944,44,1584,124000
535104120,10573,50,1453,187500
535105100,9500,48,1394,159000
535125070,14695,45,1562,256000
535125090,13600,46,768,205000
535126010,13000,43,896,193500
535126100,13560,43,1392,110000
535150070,12513,91,715,104900
535151040,8760,55,1169,150000
535152230,8400,54,1478,156500
535154060,12285,51,1329,176000
535154130,9240,52,988,149500
535175030,9600,53,1240,139000
535175050,12400,53,1215,155000
535178040,8750,55,1202,120000
535178120,8750,56,1382,153000
535179160,10400,55,1200,144000
535300120,19296,49,1362,176000
535301170,8532,57,1297,153000
535302120,9482,53,1866,135000
535303110,8128,57,1062,131000
535303150,10634,58,608,123000
535304100,13070,60,631,126000
535325290,10434,56,1005,115000
535351050,14559,60,1008,164900
535352090,8480,66,793,113000
535353040,7626,59,1031,145500
535353060,9533,58,0,102900
535353140,10615,111,978,95000
535353240,11419,63,699,152500
535354070,9600,61,1200,129900
535354100,8000,63,972,132000
535375010,5470,53,792,99900
535375050,10410,95,660,135000
535376060,10800,72,676,149000
535377150,8146,111,405,114000
535378020,9022,87,768,109500
535378120,10230,86,1054,125000
535381040,10410,96,1313,142900
535382100,7200,101,560,156500
535383060,5400,71,416,59000
535383070,5400,91,840,105000
535383110,10800,91,720,106000
535383120,10800,121,630,78500
535402010,9671,42,1248,190000
535402090,10143,48,1380,154000
535402270,11500,44,1040,163000
535402330,11643,42,1248,200000
535403190,8010,53,951,143500
535403210,10454,54,1105,135000
535403280,8712,54,992,153000
535425070,17600,51,1478,157500
535426150,9000,53,160,113500
535450070,12144,62,832,133000
535450160,8544,61,0,92900
535450200,8064,61,795,128500
535451170,7200,62,0,90000
535451250,7200,61,1208,138000
535452090,7350,53,1041,128000
535452100,7560,53,1029,139000
535452140,7200,59,732,118900
535453100,8000,52,528,138000
535453200,7931,52,1148,132500
535454100,10800,62,832,133500
535454160,8064,63,864,135000
535475010,7570,47,780,144750
535476110,8604,33,941,145000
535476240,7936,48,1045,127000
535477150,6600,49,894,109500
902101010,3950,85,818,115000
902102080,10440,101,440,110000
902103100,4080,76,901,128900
902103120,10307,101,972,103500
902103170,5720,70,676,66500
902105050,15660,101,240,130000
902105060,9900,101,504,129000
902106010,6406,72,690,150000
902106060,6600,119,994,107500
902109130,7627,91,600,94550
902109140,7596,59,960,124500
902110080,3378,65,651,135000
902134120,10134,101,801,103000
902135020,6000,58,936,93000
902201110,6000,61,768,129500
902202150,6000,57,811,93000
902204080,7404,91,861,80000
902205010,5925,71,0,45000
902205030,5925,101,600,37900
902206260,5784,73,190,91300
902207170,8520,88,624,99500
902300090,4456,91,736,113000
902301060,9600,101,677,87500
902301080,3500,64,720,110000
902325070,8100,113,849,106000
902326030,11700,131,1240,265979
902327070,8400,111,917,160000
902329080,3600,94,624,119000
902330040,17671,129,916,168000
902331010,3300,101,624,58500
902401130,9000,91,650,143000
902402150,7200,101,1022,85000
902405100,8820,121,1088,124900
902405120,5400,91,972,119000
902406070,9720,101,741,146500
902477120,7879,91,720,34900
902477130,9392,111,245,44000
903200080,21384,88,1324,223500
903201020,6615,88,1022,149000
